number_in_series,number_in_season,Title,Directed by,Written by,original_air_date,production_code,us_viewers_in_millions
1,1,"""Identity""",James Whitmore Jr.,Shane Brennan,"September 22, 2009",101,18.73
2,2,"""The Only Easy Day""",Terrence O'Hara,R. Scott Gemmill,"September 29, 2009",102,17.42
3,3,"""Predator""",Tony Wharmby,Dave Kalstein,"October 6, 2009",104,16.31
4,4,"""Search and Destroy""",Steve Boyum,Gil Grant,"October 13, 2009",105,15.32
5,5,"""Killshot""",David M. Barrett,Shane Brennan,"October 20, 2009",103,16.5
6,6,"""Keepin' It Real""",Leslie Libman,Matt Pyken,"November 3, 2009",106,15.29
7,7,"""Pushback""",Paris Barclay,Shane Brennan,"November 10, 2009",107,16.19
8,8,"""Ambush""",Rod Holcomb,Lindsay Sturman,"November 17, 2009",108,14.81
9,9,"""Random on Purpose""",Steven DePaul,Speed Weed,"November 24, 2009",109,17.18
10,10,"""Brimstone""",Terrence O'Hara,Teleplay by: R. Scott Gemmill & Gil Grant,"December 15, 2009",110,17.36
11,11,"""Breach""",Perry Lang,Teleplay by: Shane Brennan & R. Scott Gemmill,"January 5, 2010",111,18.07
12,12,"""Past Lives""",Elodie Keene,Dave Kalstein,"January 12, 2010",112,15.5
13,13,"""Missing""",David M. Barrett,Gil Grant & Matt Pyken,"January 26, 2010",113,17.16
14,14,"""LD50""",Jonathan Frakes,Speed Weed & R. Scott Gemmill,"February 2, 2010",114,16.42
15,15,"""The Bank Job""",Terrence O'Hara,Dave Kalstein,"February 9, 2010",115,17.91
16,16,"""Chinatown""",Alan J. Levi,Lindsay Sturman,"March 2, 2010",116,14.97
17,17,"""Full Throttle""",David M. Barrett,Joseph C. Wilson,"March 9, 2010",117,16.99
18,18,"""Blood Brothers""",Karen Gaviola,Tim Clemente,"March 16, 2010",118,15.1
19,19,"""Hand-to-Hand""",Paris Barclay,Matt Pyken,"April 6, 2010",119,13.79
20,20,"""Fame""",Dennis Smith,Speed Weed,"April 27, 2010",120,15.62
21,21,"""Found""",James Whitmore Jr.,R. Scott Gemmill,"May 4, 2010",121,14.34
22,22,"""Hunted""",Steven DePaul,Corey Miller,"May 11, 2010",122,16.04
23,23,"""Burned""",Steve Boyum,Teleplay by: Gil Grant & Dave Kalstein,"May 18, 2010",123,15.23
24,24,"""Callen, G.""",Tony Wharmby,Shane Brennan,"May 25, 2010",124,13.12
25,1,"""Human Traffic""",James Whitmore Jr.,Shane Brennan,"September 21, 2010",201,15.76
26,2,"""Black Widow""",Kate Woods,Dave Kalstein,"September 21, 2010",202,13.6
27,3,"""Borderline""",Terrence O'Hara,R. Scott Gemmill,"September 28, 2010",203,16.51
28,4,"""Special Delivery""",Tony Wharmby,Gil Grant,"October 5, 2010",204,16.15
29,5,"""Little Angels""",Steven DePaul,Frank Military,"October 12, 2010",205,16.05
30,6,"""Standoff""",Dennis Smith,Joseph C. Wilson,"October 19, 2010",206,16
31,7,"""Anonymous""",Norberto Barba,Christina M. Kim,"October 26, 2010",207,15.99
