"","name","number_in_series","number_in_season","Title","original_air_date","viewers","Season","Ratings"
"1","ncisla",1,1,"""Identity""","September 22, 2009",18.73,1,7.4
"2","ncisla",2,2,"""The Only Easy Day""","September 29, 2009",17.42,1,7.1
"3","ncisla",3,3,"""Predator""","October 6, 2009",16.31,1,7.2
"4","ncisla",4,4,"""Search and Destroy""","October 13, 2009",15.32,1,7.5
"5","ncisla",5,5,"""Killshot""","October 20, 2009",16.5,1,7.5
"6","ncisla",6,6,"""Keepin' It Real""","November 3, 2009",15.29,1,7.4
"7","ncisla",7,7,"""Pushback""","November 10, 2009",16.19,1,7.7
"8","ncisla",8,8,"""Ambush""","November 17, 2009",14.81,1,7.7
"9","ncisla",9,9,"""Random on Purpose""","November 24, 2009",17.18,1,8
"10","ncisla",10,10,"""Brimstone""","December 15, 2009",17.36,1,7.3
"11","ncisla",11,11,"""Breach""","January 5, 2010",18.07,1,7.2
"12","ncisla",12,12,"""Past Lives""","January 12, 2010",15.5,1,7.8
"13","ncisla",13,13,"""Missing""","January 26, 2010",17.16,1,7.8
"14","ncisla",14,14,"""LD50""","February 2, 2010",16.42,1,7.6
"15","ncisla",15,15,"""The Bank Job""","February 9, 2010",17.91,1,7.7
"16","ncisla",16,16,"""Chinatown""","March 2, 2010",14.97,1,7.3
"17","ncisla",17,17,"""Full Throttle""","March 9, 2010",16.99,1,7.3
"18","ncisla",18,18,"""Blood Brothers""","March 16, 2010",15.1,1,7.4
"19","ncisla",19,19,"""Hand-to-Hand""","April 6, 2010",13.79,1,7.8
"20","ncisla",20,20,"""Fame""","April 27, 2010",15.62,1,7.8
"21","ncisla",21,21,"""Found""","May 4, 2010",14.34,1,8
"22","ncisla",22,22,"""Hunted""","May 11, 2010",16.04,1,7.4
"23","ncisla",23,23,"""Burned""","May 18, 2010",15.23,1,7.8
"24","ncisla",24,24,"""Callen, G.""","May 25, 2010",13.12,1,7.9
"25","ncisla",25,1,"""Human Traffic""","September 21, 2010",15.76,2,7.9
"26","ncisla",26,2,"""Black Widow""","September 21, 2010",13.6,2,7.8
"27","ncisla",27,3,"""Borderline""","September 28, 2010",16.51,2,7.7
"28","ncisla",28,4,"""Special Delivery""","October 5, 2010",16.15,2,7.6
"29","ncisla",29,5,"""Little Angels""","October 12, 2010",16.05,2,7.8
"30","ncisla",30,6,"""Standoff""","October 19, 2010",16,2,7.8
"31","ncisla",31,7,"""Anonymous""","October 26, 2010",15.99,2,7.7
"32","ncisla",32,8,"""Bounty""","November 9, 2010",15.61,2,7.8
"33","ncisla",33,9,"""Absolution""","November 16, 2010",15.81,2,7.8
"34","ncisla",34,10,"""Deliverance""","November 23, 2010",14.96,2,7.9
"35","ncisla",35,11,"""Disorder""","December 14, 2010",16.82,2,7.7
"36","ncisla",36,12,"""Overwatch""","January 11, 2011",18.13,2,7.6
"37","ncisla",37,13,"""Archangel""","January 18, 2011",17.29,2,7.7
"38","ncisla",38,14,"""Lockup""","February 1, 2011",17.7,2,7.7
"39","ncisla",39,15,"""Tin Soldiers""","February 8, 2011",17.16,2,7.7
"40","ncisla",40,16,"""Empty Quiver""","February 15, 2011",16.8,2,7.8
"41","ncisla",41,17,"""Personal""","February 22, 2011",18.69,2,8.1
"42","ncisla",42,18,"""Harm's Way""","March 1, 2011",15.67,2,7.6
"43","ncisla",43,19,"""Enemy Within""","March 22, 2011",16.56,2,7.7
"44","ncisla",44,20,"""The Job""","March 29, 2011",15.34,2,7.8
"45","ncisla",45,21,"""Rocket Man""","April 12, 2011",15.46,2,7.7
"46","ncisla",46,22,"""Plan B.""","May 3, 2011",14.16,2,7.9
"47","ncisla",47,23,"""Imposters""","May 10, 2011",14.74,2,7.7
"48","ncisla",48,24,"""Familia""","May 17, 2011",15.61,2,8.1
"49","ncisla",49,1,"""Lange, H.""","September 20, 2011",16.71,3,8.2
"50","ncisla",50,2,"""Cyber Threat""","September 27, 2011",16.26,3,7.8
"51","ncisla",51,3,"""Backstopped""","October 4, 2011",14.78,3,7.9
"52","ncisla",52,4,"""Deadline""","October 11, 2011",15.4,3,7.6
"53","ncisla",53,5,"""Sacrifice""","October 18, 2011",15.35,3,7.7
"54","ncisla",54,6,"""Lone Wolf""","October 25, 2011",15.89,3,7.7
"55","ncisla",55,7,"""Honor""","November 1, 2011",15.52,3,7.7
"56","ncisla",56,8,"""Greed""","November 8, 2011",15.66,3,7.8
"57","ncisla",57,9,"""Betrayal""","November 15, 2011",15.15,3,7.9
"58","ncisla",58,10,"""The Debt""","November 22, 2011",14.09,3,8.1
"59","ncisla",59,11,"""Higher Power""","December 13, 2011",16.4,3,7.8
"60","ncisla",60,12,"""The Watchers""","January 3, 2012",17.08,3,7.7
"61","ncisla",61,13,"""Exit Strategy""","January 10, 2012",16.6,3,7.6
"62","ncisla",62,14,"""Partners""","February 7, 2012",16.27,3,7.9
"63","ncisla",63,15,"""Crimeleon""","February 14, 2012",16.15,3,8.1
"64","ncisla",64,16,"""Blye, K.""","February 21, 2012",15.47,3,8.2
"65","ncisla",65,17,"""Blye, K., Part 2""","February 28, 2012",15.85,3,8.3
"66","ncisla",66,18,"""The Dragon and the Fairy""","March 20, 2012",16.17,3,7.9
"67","ncisla",67,19,"""Vengeance""","March 27, 2012",14.75,3,7.6
